question_id,set_id,type,prompt_en,prompt_ja,audio_file,image_files,choices_text,answer_index,script_en,script_ja,
t5_t001_q001_001,n5_t001_q001,q_type_6_input,"A: Iku?[br]B: Un, _ _ _! ☺","A: いく?[br]B: うん,  _ _ ! ☺",assets/quiz/audio/verb/iku_non_past_dictionary.mp3,assets/quiz/images/verb/iku_non_past_dictionary.png,行く|いく|iku,,"A: Iku?[br]B: Un, iku!☺",A: いく？[br]B: うん、いく！☺,
n5_t001_q001_002,n5_t001_q001,q_type_6_input,Home Appliances: Look at the photos and listen,[hl]Highlight[/hl] [u]abc[/u]  [i]italic[/i] [b]bold[/b] [small]small[/small][big]big[/big]【[ruby]家電[rt]かでん[/rt][/ruby]の　[ruby]名前[rt]なまえ[/rt][/ruby]】　[ruby]写真[rt]しゃしん[/rt][/ruby]を　[ruby]見[rt]み[/rt][/ruby]ながら　[ruby]音声[rt]おんせい[/rt][/ruby]を　[ruby]聞[rt]き[/rt][/ruby]きましょう。,assets/quiz/audio/n5_t001/kaden_.mp3,assets/quiz/images/n5_t001/kaden_soujiki.png|assets/quiz/images/n5_t001/kaden_sentakki.png|assets/quiz/images/n5_t001/kaden_reizouko.png|assets/quiz/images/n5_t001/kaden_denshi_renji.png,[ruby]分[rt]わ[/rt][/ruby]かった  GOT IT!|[ruby]分[rt]わ[/rt][/ruby]からない  I'm not sure…,0,No tet available,No tet available,
n5_t001_q001_003,n5_t001_q001,q_type_6_input,🔤,,assets/quiz/audio/n5_t001/kaden_.mp3,assets/quiz/images/n5_t001/kaden_soujiki.png|assets/quiz/images/n5_t001/kaden_sentakki.png|assets/quiz/images/n5_t001/kaden_reizouko.png|assets/quiz/images/n5_t001/kaden_denshi_renji.png,1. 大規模な並列計算処理が可能になったことで、現実的な時間内でモデルを学習させられるようになったから。|2. より大規模なデータがWeb上に公開されるようになり、データの収集が比較的容易になってきたから。|3. プログラミングを支援するフレームワークが広く普及したから。|4. 政府によって「第五世代コンピューター」と名付けられた大型プロジェクトが推進されたから。,4,,第２次AIブームの時期、日本政府は第五世代コンピュータプロジェクトに巨額の資金を投じました。1982年から1992年の11年間にわたり、約500億円の国家予算を投じて遂行されました。このプロジェクトの評価は賛否両論に分かれています。,
n5_t001_q001_004,n5_t001_q001,q_type_6_input,🔤,,assets/quiz/audio/n5_t001/kaden_.mp3,assets/quiz/images/n5_t001/kaden_soujiki.png|assets/quiz/images/n5_t001/kaden_sentakki.png|assets/quiz/images/n5_t001/kaden_reizouko.png|assets/quiz/images/n5_t001/kaden_denshi_renji.png,1. 大規模な並列計算処理が可能になったことで、現実的な時間内でモデルを学習させられるようになったから。|2. より大規模なデータがWeb上に公開されるようになり、データの収集が比較的容易になってきたから。|3. プログラミングを支援するフレームワークが広く普及したから。|4. 政府によって「第五世代コンピューター」と名付けられた大型プロジェクトが推進されたから。,4,,第２次AIブームの時期、日本政府は第五世代コンピュータプロジェクトに巨額の資金を投じました。1982年から1992年の11年間にわたり、約500億円の国家予算を投じて遂行されました。このプロジェクトの評価は賛否両論に分かれています。,
n5_t001_q001_005,n5_t001_q001,q_type_6_input,🔤,,assets/quiz/audio/n5_t001/kaden_.mp3,assets/quiz/images/n5_t001/kaden_soujiki.png|assets/quiz/images/n5_t001/kaden_sentakki.png|assets/quiz/images/n5_t001/kaden_reizouko.png|assets/quiz/images/n5_t001/kaden_denshi_renji.png,1. 大規模な並列計算処理が可能になったことで、現実的な時間内でモデルを学習させられるようになったから。|2. より大規模なデータがWeb上に公開されるようになり、データの収集が比較的容易になってきたから。|3. プログラミングを支援するフレームワークが広く普及したから。|4. 政府によって「第五世代コンピューター」と名付けられた大型プロジェクトが推進されたから。,4,,第２次AIブームの時期、日本政府は第五世代コンピュータプロジェクトに巨額の資金を投じました。1982年から1992年の11年間にわたり、約500億円の国家予算を投じて遂行されました。このプロジェクトの評価は賛否両論に分かれています。,
n5_t001_q001_006,n5_t001_q001,q_type_6_input,🔤,,assets/quiz/audio/n5_t001/kaden_.mp3,assets/quiz/images/n5_t001/kaden_soujiki.png|assets/quiz/images/n5_t001/kaden_sentakki.png|assets/quiz/images/n5_t001/kaden_reizouko.png|assets/quiz/images/n5_t001/kaden_denshi_renji.png,1. 大規模な並列計算処理が可能になったことで、現実的な時間内でモデルを学習させられるようになったから。|2. より大規模なデータがWeb上に公開されるようになり、データの収集が比較的容易になってきたから。|3. プログラミングを支援するフレームワークが広く普及したから。|4. 政府によって「第五世代コンピューター」と名付けられた大型プロジェクトが推進されたから。,4,,第２次AIブームの時期、日本政府は第五世代コンピュータプロジェクトに巨額の資金を投じました。1982年から1992年の11年間にわたり、約500億円の国家予算を投じて遂行されました。このプロジェクトの評価は賛否両論に分かれています。,
n5_t001_q001_007,n5_t001_q001,q_type_6_input,🔤,,assets/quiz/audio/n5_t001/kaden_.mp3,assets/quiz/images/n5_t001/kaden_soujiki.png|assets/quiz/images/n5_t001/kaden_sentakki.png|assets/quiz/images/n5_t001/kaden_reizouko.png|assets/quiz/images/n5_t001/kaden_denshi_renji.png,1. 大規模な並列計算処理が可能になったことで、現実的な時間内でモデルを学習させられるようになったから。|2. より大規模なデータがWeb上に公開されるようになり、データの収集が比較的容易になってきたから。|3. プログラミングを支援するフレームワークが広く普及したから。|4. 政府によって「第五世代コンピューター」と名付けられた大型プロジェクトが推進されたから。,4,,第２次AIブームの時期、日本政府は第五世代コンピュータプロジェクトに巨額の資金を投じました。1982年から1992年の11年間にわたり、約500億円の国家予算を投じて遂行されました。このプロジェクトの評価は賛否両論に分かれています。,
n5_t001_q001_008,n5_t001_q001,q_type_6_input,🔤,,assets/quiz/audio/n5_t001/kaden_.mp3,assets/quiz/images/n5_t001/kaden_soujiki.png|assets/quiz/images/n5_t001/kaden_sentakki.png|assets/quiz/images/n5_t001/kaden_reizouko.png|assets/quiz/images/n5_t001/kaden_denshi_renji.png,1. 大規模な並列計算処理が可能になったことで、現実的な時間内でモデルを学習させられるようになったから。|2. より大規模なデータがWeb上に公開されるようになり、データの収集が比較的容易になってきたから。|3. プログラミングを支援するフレームワークが広く普及したから。|4. 政府によって「第五世代コンピューター」と名付けられた大型プロジェクトが推進されたから。,4,,第２次AIブームの時期、日本政府は第五世代コンピュータプロジェクトに巨額の資金を投じました。1982年から1992年の11年間にわたり、約500億円の国家予算を投じて遂行されました。このプロジェクトの評価は賛否両論に分かれています。,
n5_t001_q001_009,n5_t001_q001,q_type_6_input,🔤,,assets/quiz/audio/n5_t001/kaden_.mp3,assets/quiz/images/n5_t001/kaden_soujiki.png|assets/quiz/images/n5_t001/kaden_sentakki.png|assets/quiz/images/n5_t001/kaden_reizouko.png|assets/quiz/images/n5_t001/kaden_denshi_renji.png,1. 大規模な並列計算処理が可能になったことで、現実的な時間内でモデルを学習させられるようになったから。|2. より大規模なデータがWeb上に公開されるようになり、データの収集が比較的容易になってきたから。|3. プログラミングを支援するフレームワークが広く普及したから。|4. 政府によって「第五世代コンピューター」と名付けられた大型プロジェクトが推進されたから。,4,,第２次AIブームの時期、日本政府は第五世代コンピュータプロジェクトに巨額の資金を投じました。1982年から1992年の11年間にわたり、約500億円の国家予算を投じて遂行されました。このプロジェクトの評価は賛否両論に分かれています。,
n5_t001_q001_010,n5_t001_q001,q_type_6_input,🔤,,assets/quiz/audio/n5_t001/kaden_.mp3,assets/quiz/images/n5_t001/kaden_soujiki.png|assets/quiz/images/n5_t001/kaden_sentakki.png|assets/quiz/images/n5_t001/kaden_reizouko.png|assets/quiz/images/n5_t001/kaden_denshi_renji.png,1. 大規模な並列計算処理が可能になったことで、現実的な時間内でモデルを学習させられるようになったから。|2. より大規模なデータがWeb上に公開されるようになり、データの収集が比較的容易になってきたから。|3. プログラミングを支援するフレームワークが広く普及したから。|4. 政府によって「第五世代コンピューター」と名付けられた大型プロジェクトが推進されたから。,4,,第２次AIブームの時期、日本政府は第五世代コンピュータプロジェクトに巨額の資金を投じました。1982年から1992年の11年間にわたり、約500億円の国家予算を投じて遂行されました。このプロジェクトの評価は賛否両論に分かれています。,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
